developer,coned_id,borough,zipcode,substation,power_kw,application_date,final_loa_date,project_complete
Raiden Electric,MC-468401,Brooklyn,10019,Newtown,5000,2020-01-29,,No
SunPower Corp.,MC-468591,Queens,11430,Brownsville_2,2500,2020-01-29,,No
SunPower Corp.,MC-468599,Queens,11430,Brownsville_2,2500,2020-01-29,,No
SunPower Corp.,MC-468327,Queens,10007,Brownsville_2,1200,2020-01-28,,No
"SunPower, Corp.",MC-468321,Queens,10007,Brownsville_2,2250,2020-01-28,,No
"Raiden Electric, LLC",MC-467658,Brooklyn,10019,Brownsville_1,5000,2020-01-24,,No
"Raiden Electric, LLC",MC-466894,Brooklyn,10019,Bruckner,250,2020-01-20,,No
Sustainable Energy,MC-466914,Queens,11213,Glendale,2550,2020-01-20,,No
"Raiden Electric, LLC",MC-464857,Brooklyn,10019,Water St,4000,2020-01-08,,No
"Raiden Electric, LLC",MC-464985,Brooklyn,10019,Water St,4800,2020-01-08,,No
"Raiden Electric, LLC",MC-464898,Brooklyn,10019,Water St,4800,2020-01-08,,No
"Raiden Electric, LLC",MC-464534,Queens,10019,Newtown,4800,2020-01-06,,No
"Raiden Electric, LLC",MC-463594,Queens,10019,Newtown,4800,2019-12-30,,No
"Borrego Solar Systems, Inc.",MC-461596,Staten Island,10309,WOODROW,5000,2019-12-16,,No
"Ashlawn Energy, LLC",MC-461253,Brooklyn,11223,Bensonhurst_1,2,2019-12-12,,No
"Borrego Solar Systems, Inc.",MC-459202,Staten Island,10314,FRESH_KILLS,5000,2019-12-02,,No
"Borrego Solar Systems, Inc.",MC-459186,Staten Island,10309,WOODROW,5000,2019-12-02,,No
"Borrego Solar Systems, Inc.",MC-459197,Staten Island,10309,WOODROW,5000,2019-12-02,,No
Sunkeeper Solar,MC-458340,Staten Island,10007,FRESH_KILLS,4250,2019-11-25,,No
"Ashlawn Energy, LLC",MC-457674,Brooklyn,11223,Bensonhurst_1,2,2019-11-21,,No
"Raiden Electric, LLC",MC-457044,Brooklyn,10019,Greenwood,4800,2019-11-19,,No
Sunkeeper Solar,MC-455484,Staten Island,10007,Fresh_Kills,4250,2019-11-11,,No
"Ameresco, Inc.",MC-453648,Queens,11433,Jamaica,2200,2019-11-01,,No
