Queue Pos.,Owner/Developer,Project Name,Date of IR,SP (MW),WP (MW),Type/ Fuel,County,State,Z,Interconnection Point,Utility ,S,Last Update,Availability of Studies,FS Complete/ SGIA Tender,Proposed In-Service,Proposed Initial-Sync,Proposed COD
5,Sithe Energies,Torne Valley Station,1/28/99,860,,,,,,Ramapo,CONED,0,,,,,,
6,Sunset Energy Fleet LLC,Sunset Energy Fleet,2/17/99,520,,,,,,Gowanus,CONED,0,,,,,,
7,American National Power,Ramapo Energy,2/23/99,1100,,,,,,Ramapo,CONED,0,,,,,,
8,Columbia Electric Corp.,Grassy Point,2/23/99,1100,,,,,,West Haverstraw,CONED,0,,,,,,
9,Millennium Power Gen Co. LLC,Millennium 1,2/23/99,160,,,,,,Hell Gate/Bruckner,CONED,0,,,,,,
10,Millennium Power Gen Co. LLC,Millennium 2,2/23/99,320,,,,,,Hell Gate/Bruckner,CONED,0,,,,,,
12,"East Coast Power, LLC",East Coast Power Linden,3/25/99,70,,ST,Richmond-NJ,NY,J,Goethals 345kV,CONED,0,7/10/08,,,,,
13,"East Coast Power, LLC",Linden 7,3/25/99,100,,ST,Richmond-NJ,NY,J,Goethals 345kV,CONED,0,7/10/08,,,,,
14,"East Coast Power, LLC",Linden Plant Improvement,3/25/99,20,,ST,Richmond-NJ,NY,J,Goethals 345kV,CONED,0,7/10/08,,,,,
15,AEP Resources Service Corp.,CT-LI AC Tie-line,4/13/99,600,,,,,,"Shoreham, Long Island",LIPA,0,,,,,,
16,"Oak Point Property, LLC",Oak Point Yard,4/15/99,500,,CC,Bronx,NY,J,Hell Gate/Bruckner 138kV,CONED,0,7/10/08,,,,,
19,NYC Energy LLC,NYC Energy LLC,5/7/99,79.9,,CT,Kings,NY,J,Kent Ave 138kV,CONED,0,9/30/10,,,,,
20,"KeySpan Energy, Inc.",Spagnoli Road CC Unit,5/17/99,250,,CC,Suffolk,NY,K,Spagnoli Road 138kV,LIPA,0,3/1/12,,,,,
21,"KeySpan Energy, Inc.",Shoreham Gen Station,5/17/99,250,,,,,,Shoreham,LIPA,0,,,,,,
22,Calpine Eastern Corporation,Wawayanda Energy Center,6/10/99,500,,CC,Orange,NY,,Coop Corn-Rock Tav Lines 345kV,NYPA,0,6/26/06,,,,,
23,Calpine Eastern Corporation,Sullivan County Power Project,6/25/99,1080,,CC,Sullivan,NY,,Coop Corn-Rock Tav Lines 345kV,NYPA,0,3/31/06,,,,,
24,Reliant Energy,Astoria Repowering-Phase 1,7/13/99,367,,CC,Queens,NY,,Astoria 138kV,CONED,0,8/9/06,,,,,
26,"Twin Tier Power, LLC",Twin Tier Power,8/20/99,520,,,,,,Watercure-Oakdale 31 Line,NYSEG,0,,,,,,
27,ENRON,Far Rockaway Barge,9/8/99,60,,,,,,Far Rockaway,LIPA,0,,,,,,
28,"KeySpan Energy, Inc.",Spagnoli Road GT Unit,9/8/99,79.9,,,,,,Spagnoli Road,LIPA,0,,,,,,
29,Mirant,Bowline Point Unit 3,10/13/99,750,,CC,Rockland,NY,,W. Haverstraw 345kV,CONED,0,7/10/06,,,,,
30,Sithe Energies,Heritage Station,10/29/99,800,,,,,,Independence (Oswego),NM-NG,0,,,,,,
32,American National Power,Brookhaven Energy,11/22/99,580,,CC,Suffolk,NY,,Holbrook-Brookhaven 138kV,LIPA,0,,,,,,
33,"Glenville Energy Park, LLC",Glenville Energy Park,11/30/99,540,,CC,Schenectady,NY,F,Rotterdam 230kV,NM-NG,0,7/10/08,,,,,
34,York Research Corp.,North First Street,1/11/00,500,,,,,,Con Ed System,CONED,0,,,,,,
35,"Gotham Power Zerega, LLC",Gotham Power - Bronx I,1/12/00,79.9,,CT,Bronx,NY,J,Parkchester/Tremont 138kV,CONED,0,7/10/08,,,,,
36,"Boundless Energy, LLC",Project Neptune DC NB-NYC,1/21/00,1200,,DC,Kings,NY,J,Farragut 345kV,CONED,0,7/10/08,,,,,
37,"Caithness Energy, LLC",Kitchen,1/28/00,750,,,,,,Riverh'd-Brookh'n-Holb'k,LIPA,0,,,,,,
38,"KeySpan Energy, Inc.",Far Rochaway Gen Ext.,2/1/00,79,,,,,,Far Rockaway,LIPA,0,,,,,,
39,"KeySpan Energy, Inc.",E. F. Barrett Gen Ext,2/1/00,79,,,,,,Barrett,LIPA,0,,,,,,
40,"KeySpan Energy, Inc.",Riverhead Gen Station,2/1/00,79,,,,,,Riverhead,LIPA,0,,,,,,
41,"KeySpan Energy, Inc.",Southampton Gen Ext.,2/1/00,79,,,,,,Southampton,LIPA,0,,,,,,
42,"PP&L Global, Inc.",Holbrook Energy,2/1/00,300,,,,,,Holbrook,LIPA,0,,,,,,
43,"PP&L Global, Inc.",PPL Kings Park,2/1/00,300,,,,,,Pilgrim,LIPA,0,,,,,,
44,"PP&L Global, Inc.",Ruland Energy,2/1/00,300,,,,,,Ruland Road,LIPA,0,,,,,,
45,"PP&L Global, Inc.",Freeport Energy,2/1/00,100,,,,,,Freeport,LIPA,0,,,,,,
46,"PP&L Global, Inc.",Brookhaven Energy,2/3/00,300,,,,,,Brookhaven,LIPA,0,,,,,,
47,"GenPower, LLC",GenPower DC Tie-line,2/9/00,800,,,,,,West 49th Sreet,CONED,0,,,,,,
48,"PP&L Global, Inc.",PPL Kings Park Ext.,2/10/00,300,,,,,,Pilgrim,LIPA,0,,,,,,
49,"PP&L Global, Inc.",Brookhaven Energy Ext.,2/10/00,300,,,,,,Brookhaven,LIPA,0,,,,,,
50,"AES Long Island, LLC",AES Smithtown Gen,2/10/00,510,,,,,,LIPA System,LIPA,0,,,,,,
51,"KeySpan Energy, Inc.",Wading River Gen Ext.,2/15/00,150,,,,,,Wading River,LIPA,0,,,,,,
52,NIMO/Black River Power,Fort Drum Gen Exp.,3/6/00,50,,,,,,Fort Drum,NM-NG,0,,,,,,
53,"TransEnergie US, Ltd","CT-Ruland, LI DC Tie",3/7/00,300,,,,,,Ruland Road,LIPA,0,,,,,,
54,"TransEnergie US, Ltd","CT-Pilgrim, LI DC Tie",3/7/00,300,,,,,,Pilgrim,LIPA,0,,,,,,
56,1st Rochdale Coop Group,Gotham Power/Brooklyn,3/17/00,79,,,,,,Kent Ave,CONED,0,,,,,,
57,"Flat Rock Windpower, LLC",Flat Rock Windpower,3/21/00,100,,W,,,,Lowville-Boonville,NM-NG,0,,,,,,
58,Mirant,Lovett #3 Repowering,3/23/00,180,,,,,,Lovett,CONED,0,,,,,,
59,Mirant,Hillburn Unit #2,3/23/00,79.9,,,,,,Hillburn,CONED,0,,,,,,
60,Mirant,Hillburn #2 Conversion,3/23/00,40,,,,,,Hillburn,CONED,0,,,,,,
61,"GTM Energy, LLC",Greenpoint Energy Park,4/19/00,500,,,,,,Rainey-Farragut Lines,CONED,0,,,,,,
62,"Project Orange Associates, LP",Project Orange,5/8/00,420,,,,,,Temple St.,NM-NG,0,,,,,,
63,"Lewis Staley Associates, Inc.",LSA Station A,5/11/00,650,,,,,,Homer City-Stolle Rd Line,NYSEG,0,,,,,,
64,"Lewis Staley Associates, Inc.",LSA Station B,5/12/00,600,,,,,,Dunkirk-Gardenville Line,NM-NG,0,,,,,,
65,Fortistar-Lockport Merchant,Lockport II Gen Station,5/15/00,79.9,,CT,Niagara,NY,A,Harrison Station 115kV,NYSEG,0,7/10/08,,,,,
67,"Titan Development, LLC",Wallkill Energy,6/21/00,1080,,,,,,Coop Corn-Rock Tav Lines,NYPA,0,,,,,,
68,"PP&L Global, Inc.",Ruland Energy Ext.,6/23/00,300,,,,,,Ruland Road,LIPA,0,,,,,,
70,Reliant Energy,Astoria Repowering-Phase 2,8/18/00,173,,CT,Queens,NY,,Astoria 138kV,CONED,0,8/9/06,,,,,
71,"Mill Creek Wind Plant, LLC",Mill Creek Wind Plant,9/8/00,50,,,,,,Lowville,NM-NG,0,,,,,,
72,"Fortistar Power Marketing, LLC",Island Gen. Station,9/8/00,79.9,,,,,,Fresh Kills,CONED,0,,,,,,
73,"Fortistar Power Marketing, LLC",Island Gen. Station #2,9/8/00,500,,,,,,Fresh Kills,CONED,0,,,,,,
