Facility ID,Facility Name,Address Line 1,Address Line 2,City,State,ZIP,Latitude,Longitude,Total Rated Electric Generation (kW),Total Rated Heat Generation (MBtu/h),Total Rated Electrical Discharge Capacity (kW),Total Rated Electrical Storage Capacity (kWh),Total Rated Cooling Energy Discharge Capacity (ton),Total Equivalent Electrical Discharge Capacity from Cooling Sources (kW),Total Rated Cooling Energy Storage Capacity (ton-hour),Total Equivalent Electrical Storage Capacity from Cooling Sources (kWh),Total Rated Thermal Energy Discharge Capacity (MBtu/h),Total Equivalent Electrical Discharge Capacity from Thermal Sources (kW),Total Rated Thermal Energy Storage Capacity (MBtu),Total Equivalent Electrical Storage Capacity from Thermal Sources (kWh),Facility Submits Data on Electricity Imported from Utility?,Source Weather Station for Ambient Temperature Data,Metric Data Last Modified,Installed Systems,Alternate Name(s),Facility Website (external),Category,Subcategory,Floor Area (ft²),No. of Occupancy Units,Electric Utility,Gas Utility,NYISO Zone,Located in Flood Plain
5,Aurora Ridge Dairy,2542 Angling Rd,,Aurora,NY,13026,43.031,-76.467,600,0,0,0,0,0,0,0,0,0,0,0,FALSE,KITH,2/21/19 16:05,1,,,Agricultural,Dairy,87120000,,New York State Electric and Gas,New York State Electric and Gas,C - Central,
11,Emerling Farm,2616 NY-246,,Perry,NY,14530,42.758,-78.006,200,0,0,0,0,0,0,0,0,0,0,0,FALSE,KROC,2/21/19 16:03,1,,,Agricultural,Dairy,,,New York State Electric and Gas,New York State Electric and Gas,A - West,
23,River Point Towers,555 Kappock Ave,,Bronx,NY,10463,40.882,-73.917,300,0,0,0,0,0,0,0,0,0,0,0,TRUE,KLGA,2/21/19 16:04,1,,,Residential,Multifamily,,,Consolidated Edison,Consolidated Edison,J - New York City,
24,Burke Rehabilitation Hospital,785 Mamoroneck Ave,,White Plains,NY,10605,41.016,-73.752,600,0,0,0,0,0,0,0,0,0,0,0,TRUE,KHPN,2/21/19 16:04,1,,http://burke.org,Health Care (Inpatient),Hospital,,,Consolidated Edison,Consolidated Edison,I - Dunwoodie,
25,East Rochester School District,400 Woodbine Ave,,East Rochester,NY,14445,43.108,-77.488,200,0,0,0,0,0,0,0,0,0,0,0,TRUE,KROC,9/25/19 15:41,1,,http://www.erschools.org/,Education,,,,Rochester Gas and Electric,Rochester Gas and Electric,B - Genessee,
26,110 E 59th Street,110 E 59th St,,New York,NY,10022,40.762922,-73.969209,800,0,0,0,0,0,0,0,0,0,0,0,TRUE,KLGA,2/21/19 16:04,1,,,Office,,,,Consolidated Edison,Consolidated Edison,J - New York City,
27,Metropolitan Syracuse WWTP,650 Hiawatha Blvd W,,Syracuse,NY,13204,43.064,-76.176,380,0,0,0,0,0,0,0,0,0,0,0,FALSE,KSYR,2/21/19 16:05,1,,http://www.ongov.net/wep/we1901.html,Utilities Water and Waste Management,Wastewater Treatment Plant,,,National Grid - Upstate NY (Niagara Mohawk),National Grid - Upstate NY (Niagara Mohawk),C - Central,
32,Lewiston Water Pollution Control Center,501 Pletcher Rd,,Lewiston,NY,14092,43.204,-79.037,60,0,0,0,0,0,0,0,0,0,0,0,FALSE,KIAG,6/21/19 17:05,1,,http://townoflewiston.us/,Utilities Water and Waste Management,Wastewater Treatment Plant,,,National Grid - Upstate NY (Niagara Mohawk),National Fuel Gas Distribution,A - West,
33,Lamb Farms,6880 Albion Rd,,Oakfield,NY,14125,43.081,-78.288,416,0,0,0,0,0,0,0,0,0,0,0,FALSE,KBUF,6/21/19 17:02,1,,http://lambfarmsinc.net/,Agricultural,Dairy,,,National Grid - Upstate NY (Niagara Mohawk),,A - West,
35,Sea Park East,2929 West 31st St,,Brooklyn ,NY,11224,40.5735,-73.994,150,0,0,0,0,0,0,0,0,0,0,0,FALSE,KJFK,2/21/19 17:38,2,,http://www.arkercompanies.com/development_13.htm,Residential,Multifamily,,,Consolidated Edison,National Grid - NYC (Brooklyn Union),J - New York City,
36,Clarkson University,CU Box 5550,,Potsdam,NY,13699,44.662,-74.998,195,0,0,0,0,0,0,0,0,0,0,0,FALSE,KSYR,2/21/19 16:05,1,,http://www.clarkson.edu,Education,College or University,,,National Grid - Upstate NY (Niagara Mohawk),National Grid - Upstate NY (Niagara Mohawk),E - Mohawk Valley,
37,666 5th Ave,666 5th Ave,,New York,NY,10019,40.760149,-73.97636,1000,0,0,0,0,0,0,0,0,0,0,0,TRUE,KLGA,2/21/19 16:05,1,Tishman Building,http://vno666Fifth.com,Office,,,,Consolidated Edison,Consolidated Edison,J - New York City,
39,Sunnyside Farms,2231 Indian Field Rd,,Venice Center,NY,13147,42.729,-76.572,500,0,0,0,0,0,0,0,0,0,0,0,FALSE,KSYR,2/21/19 16:05,1,,,Agricultural,Dairy,,,New York State Electric and Gas,New York State Electric and Gas,C - Central,
40,Boxler Dairy Farm,2706 U.S. 20A,,Varysburg,NY,14167,42.753,-78.301,500,0,0,0,0,0,0,0,0,0,0,0,FALSE,KBUF,2/21/19 16:05,1,,,Agricultural,Dairy,,,National Grid - Upstate NY (Niagara Mohawk),Rochester Gas and Electric,A - West,
41,Swiss Valley Farms,4827 Liberty St ,,Warsaw,NY,14569,42.726,-78.16,300,0,0,0,0,0,0,0,0,0,0,0,FALSE,KBUF,2/21/19 16:05,1,,,Agricultural,Dairy,,,New York State Electric and Gas,Rochester Gas and Electric,A - West,
