Project ID,System ID,Facility ID,Facility Name,System Name,Project Name,NYSERDA Contract Name,Contracted Capacity (kW),Commercial Operation Date,Facility NYISO Zone,Technology,Project Rated Electric Generation (kW),Project Rated Heat Generation (MBtu/h),Project Rated Electric Discharge Capacity (kW),Project Rated Electric Storage Capacity (kWh),Project Rated Cooling Energy Discharge Capacity (ton),Project Equivalent Electrical Discharge Capacity from Cooling Sources (kW),Project Rated Cooling Energy Storage Capacity (ton-hour),Project Equivalent Electrical Storage Capacity from Cooling Sources (kWh),Project Rated Thermal Energy Discharge Capacity (MBtu/h),Project Equivalent Electrical Discharge Capacity from Thermal Sources (kW),Project Rated Thermal Energy Storage Capacity (MBtu),Project Equivalent Electrical Storage Capacity from Thermal Sources (kWh),Developer,Installed Resources,Reporting Start Date,Reporting End Date,Alternate Name(s),Value Streams,ConEd Target Zone,NYSERDA-funded,Heat Recovery to DHW,Heat Recovery to Space Heat,Heat Recovery to Chiller,Heat Recovery to Other Load,System Redundancy (N+1),Black-Start/Islanding Capable,Grid Export Capable
1,1,170,Waldbaum's Supermarket,,Waldbaum's Supermarket,Waldbaum's Supermarket,,,K - Long Island,CHP,60,0,0,0,0,0,0,0,0,0,0,0,CDH Energy Corp.,1,2002-08-02,2006-07-21,,,,,,,,,,,FALSE
2,2,181,Arrow Linen,,Arrow Linen,Arrow Linen,,,J - New York City,CHP,300,0,0,0,0,0,0,0,0,0,0,0,Energy Concepts,2,2005-03-01,2009-04-30,,,,,,,,,,,FALSE
3,3,209,Modern Landfill,,Modern Landfill,Modern Landfill,,,A - West,CHP,5600,0,0,0,0,0,0,0,0,0,0,0,Aria Energy (formerly Innovative Energy Systems),7,2004-12-31,2013-10-21,,,,,,,,,,Automatic,TRUE
4,4,231,Oakwood Health Care Center,,Oakwood Health Care Center,Oakwood Health Care Center,,,A - West,CHP,600,0,0,0,0,0,0,0,0,0,0,0,Gerster Trane Energy Services,2,2001-12-20,2003-01-03,,,,,,,,,,,FALSE
5,5,242,Wyoming County Community Hospital,,Wyoming County Community Hospital,Wyoming County Community Hospital,,,A - West,CHP,560,0,0,0,0,0,0,0,0,0,0,0,Gerster Trane Energy Services,1,2001-09-26,2002-09-30,,,,,,,,,,Automatic,FALSE
6,6,263,Porter Center Rd.,,Porter Center Rd.,Porter Center Rd.,,,A - West,CHP,5,0,0,0,0,0,0,0,0,0,0,0,National Fuel Gas,1,2004-06-24,2005-05-04,,,,,,,,,,Automatic,TRUE
7,7,273,Floyd Bennett Field,,Floyd Bennett Field,Floyd Bennett Field,,,J - New York City,CHP,120,0,0,0,0,0,0,0,0,0,0,0,Landsberg Engineering,2,2005-07-21,2008-12-14,,,,,,,,,,Automatic,FALSE
8,8,192,The Park Ten,,The Park Ten,The Park Ten,,,J - New York City,CHP,70,0,0,0,0,0,0,0,0,0,0,0,DSM Engineering Associates,1,2005-11-17,2009-04-30,,,,,,,,,,,FALSE
9,9,316,Tudor Gardens,,Tudor Gardens,Tudor Gardens,,,J - New York City,CHP,150,0,0,0,0,0,0,0,0,0,0,0,"Tecogen, Inc.",2,2005-07-01,2006-11-15,,,,,,,,,,,FALSE
10,10,435,Sheraton New York Hotel and Tower,,Sheraton New York Hotel and Tower,Sheraton New York Hotel and Tower,,,J - New York City,CHP,250,0,0,0,0,0,0,0,0,0,0,0,PPL Energy Plus,1,2005-05-09,2008-12-01,,,,,,,,,,Automatic,FALSE
11,11,284,VIP Country Club,,VIP Country Club,VIP Country Club,,,I - Dunwoodie,CHP,180,0,0,0,0,0,0,0,0,0,0,0,Advanced Power Systems,3,2006-01-24,2009-04-30,,,,,,,,,,Automatic,FALSE
12,12,445,Patterson Farms,,Patterson Farms - Existing,Patterson Farms - Existing,,,C - Central,ADG,180,0,0,0,0,0,0,0,0,0,0,0,RCM Digesters,2,2006-03-10,2017-04-15,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,,TRUE
15,15,434,Hudson Valley Community College,,Hudson Valley Community College,Hudson Valley Community College,,,F - Capital,CHP,7845,0,0,0,0,0,0,0,0,0,0,0,Siemens Building Technologies,6,2004-04-12,2006-11-18,,,,,,,,,,,TRUE
16,16,438,SUNY Buffalo,,SUNY Buffalo,SUNY Buffalo,,,A - West,CHP,120,0,0,0,0,0,0,0,0,0,0,0,Gerster Trane Energy Services,2,2002-12-11,2004-08-11,,,,,,,,,,,FALSE
17,17,11,Emerling Farm,,Emerling Farm,Emerling Farm,,,A - West,ADG,200,0,0,0,0,0,0,0,0,0,0,0,RCM Digesters,2,2006-06-07,2014-01-04,,,,,,,,,,,TRUE
18,18,446,Sunny Knoll Farm,,Sunny Knoll Farm,Sunny Knoll Farm,,,A - West,ADG,230,0,0,0,0,0,0,0,0,0,0,0,RCM Digesters,2,2006-08-28,2018-07-31,,,,,,,,,,,TRUE
19,19,346,Sea Rise 1,,Grenadier Realty - AAF Sea Rise 1,Grenadier Realty - AAF Sea Rise 1,,,J - New York City,CHP,120,980,0,0,0,0,0,0,0,0,0,0,DSM Engineering Associates,2,2006-08-30,2009-04-30,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE
21,21,305,Hazel Towers,,Hazel Towers,Hazel Towers,,,J - New York City,CHP,120,0,0,0,0,0,0,0,0,0,0,0,DSM Engineering Associates,2,2006-09-29,2009-04-30,,,,,,,,,,,FALSE
23,23,198,A.A. Dairy,,A.A. Dairy,A.A. Dairy,,,C - Central,CHP,130,0,0,0,0,0,0,0,0,0,0,0,RCM Digesters,1,2005-04-25,2009-04-30,,,,,,,,,,,FALSE
25,25,441,Rochester International Airport,,Rochester International Airport,Rochester International Airport,,,B - Genessee,CHP,1500,0,0,0,0,0,0,0,0,0,0,0,Siemens Building Technologies,2,2006-07-25,2011-06-02,,,,,,,,,,,FALSE
28,28,442,Corning Glass Works Building,,Equity Office Properties - 717 5th Ave,Equity Office Properties - 717 5th Ave,,,J - New York City,CHP,1600,0,0,0,0,0,0,0,0,0,0,0,Northern Power Systems,2,2006-10-31,2015-03-01,,,,,,,,,,Automatic,FALSE
29,29,439,Fonda Fultonville CSD,,Fonda Fultonville CSD,Fonda Fultonville CSD,,,F - Capital,CHP,1336,0,0,0,0,0,0,0,0,0,0,0,Atlantic Energy Services,4,2007-08-29,2011-09-15,,,,,,,,,,,FALSE
30,30,456,Shoprite Supermarket,,Shoprite Supermarket,Shoprite Supermarket,,,J - New York City,CHP,140,0,0,0,0,0,0,0,0,0,0,0,National Grid,1,2007-11-28,2012-04-29,,,,,,,,,,Automatic,FALSE
